Opportunity ID,SAP Code,Account Region,Closed Lost Reason,Closed Lost Reason Comments,IDN Status
006A9000003baqz,1004323,Canada,Unresponsive Contacts,,Active
006A9000003bkip,1003261,Australia,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003bpz5,1007197,United States,,,Active
006A9000003c29P,1003886,Canada,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003cBTe,1004850,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003cBel,,Canada,,,Not a Member
006A9000003cDJE,1005455,United States,,,Active
006A9000003cDTs,1005392,United States,Unresponsive Contacts,,Active
006A9000003cGfz,1003261,Australia,,,Active
006A9000003cMcg,,Canada,No Decision,,Not a Member
006A9000003cO9O,1005051,United States,,,Active
006A9000003cd5P,1001029,New Zealand,Missing Features (Add detail to Other Closed Lost Reason),,Active
006A9000003d2xi,1006510,Canada,No Decision,,Not a Member
006A9000003d3Rw,1005776,United States,No Decision,,Active
006A9000003d3ro,1005293,United States,,,Active
006A9000003dS21,1005530,United States,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003dZko,1003886,Canada,No Decision,,Active
006A9000003damg,,Canada,Unresponsive Contacts,,Not a Member
006A9000003dbA8,1003886,Canada,,,Active
006A9000003djWP,1003209,EMEA,Unresponsive Contacts,,Active
006A9000003djqh,1003864,Canada,,,Not a Member
006A9000003dk8D,1006271,United States,,,Active
006A9000003dl61,1005690,United States,Lack of Budget,,Active
006A9000003dmIK,1005690,United States,Lack of Budget,no budget,Active
006A9000003eSe0,,United States,,,Not a Member
006A9000003eU5x,1004928,United States,Competition,Butterfly,Pending
006A9000003eWjO,1003049,Australia,No Decision,,Active
006A9000003eXRT,,New Zealand,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003eXVZ,,New Zealand,Unresponsive Contacts,,Not a Member
006A9000003eXpG,,New Zealand,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003eqHS,1003209,EMEA,,,Active
006A9000003etFd,,Canada,Competition,,Not a Member
006A9000003f7gf,1003538,Australia,Competition,,Not a Member
006A9000003fCcT,1003209,EMEA,Lack of Budget,,Active
006A9000003fJ2j,1004039,Canada,,,Active
006A9000003ffdr,1000938,Asia Pacific,Competition,,Not a Member
006A9000003fh6X,1003884,Canada,Unresponsive Contacts,,Active
006A9000003fhQ7,1003952,Canada,,,Active
006A9000003fhQy,1003209,EMEA,No Decision,,Active
006A9000003fi61,1004964,United States,,,Active
006A9000003fi8p,,United States,,,Not a Member
006A9000003fiKM,1003209,EMEA,,,Active
006A9000003fjpQ,1003209,EMEA,Lack of Budget,,Active
006A9000003fk0c,1000559,New Zealand,No Decision,,Active
006A9000003fuJc,1004968,United States,Unresponsive Contacts,,Active
006A9000003g37v,1006455,Australia,,,Active
006A9000003g8gw,1000451,New Zealand,,,Active
006A9000003g8sc,,United States,,,Not a Member
006A9000003gNAl,1006501,Asia Pacific,Competition,,Not a Member
006A9000003gPl4,1006246,Canada,,,Active
006A9000003gR0J,,Canada,No Decision,,Not a Member
006A9000003gd4M,1007706,United States,,,Not a Member
006A9000003gdSp,1005935,United States,,,Active
006A9000003gw5g,1002191,New Zealand,No Decision,,Not a Member
006A9000003h36M,1003369,EMEA,,,Active
006A9000003h8L2,1000648,New Zealand,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003hAXy,1006681,Australia,No Decision,,Not a Member
006A9000003hL3y,1001035,Asia Pacific,,,Not a Member
006A9000003hP2p,1002467,Asia Pacific,Cheaper solution,,Active
006A9000003hPMJ,1000646,Asia Pacific,,,Pending
006A9000003hSaQ,1003209,EMEA,,,Active
006A9000003hVYx,1003050,Australia,Lack of Budget,,Not a Member
006A9000003hXOJ,1006661,New Zealand,,,Not a Member
006A9000003hb61,1003543,Australia,No Decision,,Active
006A9000003hewf,,United States,,,Pending
006A9000003hkXg,1000450,New Zealand,,,Active
006A9000003hrd2,1003884,Canada,Unresponsive Contacts,,Active
006A9000003hsjv,1003908,Canada,,,Not a Member
006A9000003htlC,1004876,United States,Unresponsive Contacts,,Active
006A9000003htvX,1000952,Canada,,,Active
006A9000003huQe,1005935,United States,Unresponsive Contacts,,Active
006A9000003i6JX,1002210,Asia Pacific,Competition,,Not a Member
006A9000003i6L8,1002210,Asia Pacific,No Decision,,Not a Member
006A9000003i6Mr,1002210,Asia Pacific,Competition,,Not a Member
006A9000003i6PQ,1006080,Asia Pacific,Competition,,Not a Member
006A9000003iASi,1003288,Australia,Pricing,,Active
006A9000003iMqO,1005804,United States,,,Not a Member
006A9000003iNmU,1006246,Canada,,,Active
006A9000003iXbf,1003543,Australia,No Decision,,Active
006A9000003iYra,1005804,United States,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003iYsk,1006091,Canada,,,Active
006A9000003iZge,1004027,Canada,No Decision,,Active
006A9000003ibgM,1005293,United States,Lack of Budget,,Active
006A9000003icS5,1000450,New Zealand,Competition,,Active
006A9000003idps,1000950,New Zealand,,,Not a Member
006A9000003igBi,1003543,Australia,No Decision,,Active
006A9000003ipNB,1004710,United States,,,Active
006A9000003iqvi,1005454,United States,,,Not a Member
006A9000003j7Qg,,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003jHeb,1006633,United States,Unresponsive Contacts,,Not a Member
006A9000003jKJt,1006250,United States,,,Active
006A9000003jKNZ,1004850,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003jKQX,1004850,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003jKUE,1003885,Canada,,,Active
006A9000003jdpk,1000559,New Zealand,,,Active
006A9000003jkBg,1006610,Canada,Competition,,Not a Member
006A9000003kJSE,1006613,United States,,,Not a Member
006A9000003kY3R,1003570,EMEA,No Decision,,Active
006A9000003kcgM,1004600,United States,,,Not a Member
006A9000003kjSf,1002979,Australia,Lack of Budget,,Active
006A9000003kqxc,1004779,United States,,,Active
006A9000003ks7l,1005785,United States,,,Pending
006A9000003ks9H,1005785,United States,Other (Add detail to Other Closed Lost Reason),,Pending
006A9000003ksMW,1000952,Canada,,,Active
006A9000003kvf1,1004300,New Zealand,,,Not a Member
006A9000003kwRr,1000475,New Zealand,,,Active
006A9000003lRiS,1002778,Australia,,,Active
006A9000003lWf3,1006821,United States,,,Not a Member
006A9000003lmhM,1003043,Australia,,,Active
006A9000003m04O,1005544,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003m3JD,1003195,Australia,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003m8KT,1000956,Asia Pacific,Pricing,,Not a Member
006A9000003mAGw,,United States,Other (Add detail to Other Closed Lost Reason),,Not a Member
006A9000003mAsQ,1005293,United States,Competition,,Active
006A9000003mB4l,1006246,Canada,Unresponsive Contacts,,Active
006A9000003mB9R,1006303,United States,Other (Add detail to Other Closed Lost Reason),,Active
006A9000003mCdI,,United States,Competition,,Pending
006A9000003mCgJ,1006586,Canada,,,Not a Member
006A9000003mig9,1004039,Canada,No Decision,,Active
